_id,_fid,_lid,Name,Type,Courts,Phone,ClubName,ClubWebsite,ClubInfo
1,1,1,Agincourt Park,Club,4,311,Agincourt Tennis Club,http://www.agincourttennisclub.ca,
2,2,2,Alamosa Park,Club,3,416-496-0225,Bridlebrook Tennis Club,http://www.nyta.org,
3,3,3,Albion Gardens Park,Public,3,311,,,
4,4,4,Amesbury Park,Public,2,311,,,
5,5,5,Ancaster Park,Public,3,311,,,
6,6,6,Angela James Arena & Tennis Courts,Public,4,416-395-7838,,,
7,7,7,Antibes Community Centre,Public,1,416-395-0096,,,
8,8,8,Banbury Park,Club,4,416-443- 0941,Banbury Tennis Club,http://www.banburytennisclub.net,
9,9,9,Baycrest Park,Public,2,311,,,
10,10,10,Bayview Village Park,Public,3,311,,,
11,11,11,Beaches Park,Club,10,416-699-1635,Kew Gardens Tennis Club,http://www.kewgardenstennis.ca,
12,12,12,Beaumonde Heights Park,Public,3,311,,,
13,13,13,Bellbury Park,Club,5,416-806-0654,Bellbury Tennis Club,http://www.bellburytennisclub.com,
14,14,14,Bennington Heights Park,Club,2,311,Bennington Heights Tennis Club,http://www.benningtonheightstennis.org,
15,15,15,Bestview Park,Public,3,311,,,
16,16,16,Birch Park,Public,2,311,,,
17,17,17,Birchmount Park,Public,2,311,,,
18,18,18,Bloordale Park South,Public,2,311,,,
19,19,19,Bond Park,Club,6,416 444-7311,"Nyta Winter Tennis Club,The Don Mills Tennis Club","http://www.nywintertennisclub.com,http://www.donmillstennisclub.com",
20,20,20,Botany Hill Park,Club,4,311,Botany Hill Park,,
21,21,21,Bridlewood Park,Club,3,311,Bridlewood Tennis Club,http://www.bridlewoodtennis.ca,
22,22,22,Broadlands Park,Club,4,416-707-5930,O'Connor Hills Tennis Club,http://www.oconnorhillstennis.com,
23,23,23,Buttonwood Park,Public,3,311,,,
24,24,24,Cassandra Park,Club,4,416-391-3962,Parkway Valley Tennis Club,http://www.pvtc.ca,
25,25,25,Cedarvale Park,Public,4,311,,,
26,26,26,Chalkfarm Park,Public,2,311,,,
27,27,27,Champlain Parkette,Public,2,311,,,
28,28,28,Charlottetown Park,Club,3,416-284-3575,Charlottetown Tennis Club,http://www.charlottetowntennis.com,
29,29,29,Clairlea Park,Public,2,311,,,
30,30,30,Cliffwood Park,Public,3,311,,,
31,31,31,Cloverdale Park,Public,3,311,,,
32,32,32,Clydesdale Park,Club,4,311,Pleasantview Tennis Club,http://www.pleasantviewtennis.com,
33,33,33,Coleman Park,Public,2,311,,,
34,34,34,Confederation Park,Club,3,311,Centennial Tennis Club,,
35,35,35,Cosburn Park,Club,5,311,,,
36,36,36,Cresthaven Park,Club,4,416-756-2929,Hillcrest Tennis Club,http://www.hillcresttennisclub.ca,
37,37,37,Cummer Park,Public,4,416-395-6072,,,
38,38,38,Dovercourt Park,Public,2,311,,,
39,39,39,Dunlace Park,Club,3,289-809-3061,Dunlace Tennis Club,http://www.dunlacetennis.com,
40,40,40,Earlscourt Park,Public,1,311,,,
41,41,41,East Mall Park,Public,3,311,,,
42,42,42,Eglinton Flats,Public,13,311,,,
43,43,43,Eglinton Park,Public,2,416-392-6585,,,
44,44,44,Elie Wiesel Park,Public,3,311,,,
45,45,45,Elizabeth Simcoe Park,Club,4,647-228-5821,Guildwood Tennis Club,http://www.guildwoodtennis.com,
46,46,46,Fairmount Park,Public,4,311,,,
47,47,47,Fenside Park,Public,4,311,,,
48,48,48,Firgrove Park,Public,3,311,,,
49,49,49,Flagstaff Park,Public,2,311,,,
50,50,50,Fountainhead Park,Club,3,416-496-0225,Fountainhead Community Tennis Club,http://www.nyta.org/fountainhead_new.html,
51,51,51,Gihon Spring Park,Public,2,311,,,
52,52,52,Glen Park,Public,2,311,,,
53,53,53,Glendora Park,Public,2,311,,,
54,54,54,Goulding Park,Public,3,311,,,
55,55,55,Gracedale Park,Public,3,311,,,
56,56,56,Grandravine Park,Public,3,311,,,
57,57,57,Graydon Hall Park,Public,3,311,,,
58,58,58,Gwendolen Park,Public,1,311,,,
59,59,59,Gwendolen Park,Club,3,416-730-0429,Gwendolen Tennis Club,http://www.gwendolentennis.com,
60,60,60,Havenbrook Park,Club,4,416-493-7675,Henry Farm Tennis Club,http://www.henryfarmtennisclub.ca,
61,61,61,Hawksbury Park,Club,6,647-974-5499,Bayview Village Tennis Club,http://www.bayviewvillagetennis.com,
62,62,62,Hendon Park,Public,4,311,,,
63,63,63,Heron Park,Club,5,416-282-4842,Heron Park Tennis Club,http://www.heronparktennis.com,
64,64,64,High Park,Public,7,416-392-7807,,,
65,65,65,High Park,Club,7,416-769-5600,Howard Park Tennis Club,http://www.howardparktennis.com,
66,66,66,Hillcrest Park,Club,4,416 654 6756,Wychwood Tennis Club,http://www.wychwoodtennis.ca,
67,67,67,Howard Talbot Park,Public,2,311,,,
68,68,68,Hullmar Park,Public,3,311,,,
69,69,69,Humber Valley Park,Public,4,311,,,
70,70,70,Indian Line Park,Public,2,311,,,
71,71,71,Iroquois Park,Club,3,311,Iroquois Tennis Club,http://www.iroquoistennisclub.ca,
72,72,72,Irving W. Chapley Park,Public,2,311,,,
73,73,73,Jeff Healey Park,Public,2,311,,,
74,74,74,Jimmie Simpson Park,Public,2,311,,,
75,75,75,Jonathan Ashbridge Park,Public,2,311,,,
76,76,76,June Rowlands Park,Club,6,416-481-6569,Davisville Tennis Club,http://www.davisvilletennisclub.com,
77,77,77,Kingsview Park,Public,2,311,,,
78,78,78,Kirkwood Park,Public,4,311,,,
79,79,79,L'Amoreaux Tennis Centre,Club,5,416-396-4041,Scarborough Winter Tennis Club,http://www.swtc.ca,
80,80,80,Laburnham Park,Public,2,311,,,
81,81,81,Lakeshore Boulevard Parklands,Public,4,311,,,
82,82,82,Lambton - Kingsway Park,Public,2,311,,,
83,83,83,Lanyard Park,Public,3,311,,,
84,84,84,Lawrence Park Ravine,Club,3,311,Lawrence Park Tennis Club,http://www.lawrenceparktennisclub.ca,
85,85,85,Leaside Park,Club,6,416-429-7108,Thorncliffe Park Tennis Club,http://www.tptc.ca,
86,86,86,Lillian Park,Club,3,416-512-7432,Newtonbrook Tennis Club,http://www.newtonbrooktennis.com,
87,87,87,Lora Hill Park,Club,2,311,,,
88,88,88,Lytton Park,Club,3,416-312-5300,Lytton Park,http://www.lyttonparktennis.com,
89,89,89,Major Abbas Ali Park,Club,3,311,Major Abbas Ali Park,,
90,90,90,Malvern Park,Public,3,311,,,
91,91,91,Manchester Park,Public,3,311,,,
92,92,92,Maple Leaf Park,Public,3,311,,,
93,93,93,Martingrove Gardens Park,Public,2,311,,,
94,94,94,Maryland Park,Club,4,416-699-2412,Dentonia Park Tennis Club,https://www.dentoniatennis.com,
95,95,95,Maryvale Park,Club,3,416-878-5005,Maryvale Tennis Club,http://www.maryvaletennis.blogspot.ca,
96,96,96,McDairmid Woods Park,Public,3,311,,,
97,97,97,McGregor Park,Public,2,311,,,
98,98,98,Mcnicoll Park,Public,3,311,,,
99,99,99,Michael Mostyn Balmoral Park,Public,3,311,,,
100,100,100,Mill Valley Park,Public,2,311,,,
101,101,101,Millwood Park,Public,3,311,,,
102,102,102,Mimico Memorial Park,Club,3,311,Mimico Tennis Club,http://www.mimicotennisclub.org,
103,103,103,Moore Park - North York,Public,3,311,,,
104,104,104,Moorevale Park,Club,5,647-556-7877,Moore Park Tennis Club,http://www.mooretennis.com,
105,105,105,Moss Park,Public,1,311,,,
106,106,106,North Bendale Park,Club,3,416-451-7526,North Bendale Tennis Club,http://www.northbendaletennisclub.org,
107,107,107,North Park,Public,2,311,,,
108,108,108,Norwood Park,Public,5,311,,,
109,109,109,Old Mill Site Park,Club,4,416-763-3088,York Old Mill Tennis Club,http://www.oldmilltennis.com,
110,110,110,Oriole Park - North York,Club,4,311,Oriole Park - North York,,
111,111,111,Oriole Park - Toronto,Public,2,311,,,
112,112,112,Ourland Park,Public,2,311,,,
113,113,113,Park Lawn Park,Public,4,416-394-8491,,,
114,114,114,Pelmo Park,Public,3,311,,,
115,115,115,Pine Point Park,Public,2,311,,,
116,116,116,Pine Point Park,Club,4,416-657-2529,Pine Point Tennis Club,http://www.pinepointtennis.com,
117,117,117,Prairie Drive Park,Public,3,311,,,
118,118,118,Prince of Wales Park,Public,4,311,,,
119,119,119,Princess Anne Park,Public,2,311,,,
120,120,120,Queensway Park,None,1,311,,,
121,121,121,Queensway Park,Public,1,311,,,
122,122,122,Ramsden Park,Public,12,311,,,
123,123,123,Rennie Park,Club,4,311,The Swansea Tennis Club,http://www.swanseatennis.com,
124,124,124,Riverdale Park East,Public,7,311,,,
125,125,125,Rockford Park,Public,2,311,,,
126,126,126,Rosedale Park,Club,8,416-922-7906,The Rosedale Tennis Club,http://www.rosedaletennis.com,
127,127,127,Rosethorn Park,Club,3,311,The Rosethorn Tennis Club,https://www.rosethorntennisclub.com/,
128,128,128,Rotary Peace Park,Public,2,311,,,
129,129,129,Royal Crest Park,Public,3,311,,,
130,130,130,Roywood Park,Public,4,311,,,
131,131,131,Ruddington Park,Public,3,311,,,
132,132,132,Runnymede Park,Public,2,311,,,
133,133,133,Scarboro Crescent Park,Club,4,416-410-6300,Scarborough Bluffs Tennis Club,http://www.sbtennis.org,
134,134,134,Scarlett Mills Park,Club,4,416-279-9940,Edenbridge Tennis Club,https://edenbridgetennis.com/,
135,135,135,Seneca Hill Park,Club,4,311,Seneca Hill Tennis Club,https://senecahilltennisclub.com/,
136,136,136,Sentinel Park,Public,2,311,,,
137,137,137,Seven Oaks Park,Club,3,311,Seven Oaks Tennis Club,,
138,138,138,Shawnee Park,Public,4,311,,,
139,139,139,Silver Creek Park,Club,3,416-244-7286,Silver Creek Seniors Tennis Club,,
140,140,140,Sir Adam Beck Park,Public,2,311,,,
141,141,141,Sir Winston Churchill Park,Club,7,416-924-4558,Sir Winston Churchill Tennis Club,http://www.winstonchurchilltennis.ca,
142,142,142,Sorauren Avenue Park,Public,2,311,,,
143,143,143,Stanley Greene Park,None,2,311,,,
144,144,144,Stanley Park,Public,3,311,,,
145,145,145,Stanley Park South - Toronto,Public,2,416-392-0703,,,
146,146,146,Stephen Leacock Park,Club,4,311,Stephen Leacock Tennis Club,http://www.stephenleacock-tennis.ca,
147,147,147,Strathburn Park,Public,2,311,,,
148,148,148,Summerlea Park,Public,2,311,,,
149,149,149,Sunnydale Acres Park,Public,4,311,,,
150,150,150,Sunnylea Park,Public,2,311,,,
151,151,151,Sweeney Park,Public,3,311,,,
152,152,152,Symington Avenue Playground,Public,2,311,,,
153,153,153,Tam Heather Country Club Grounds,Club,4,311,,,
154,154,154,Thomson Memorial Park,Club,3,311,Thomson Park Tennis Club,,
155,155,155,Three Valleys Park,Club,2,416-391-3962,Parkway Valley Tennis Club,http://www.pvtc.ca,
156,156,156,Tom Riley Park,Club,3,416-236-2835,Central Tennis Club,http://www.centraltennisclub.com,
157,157,157,Topham Park,Public,2,311,,,
158,158,158,Tournament Park,Club,4,416-733-4643,Tournament Park Tennis Club,http://www.tournamentpark.com,
159,159,159,Trace Manes Park,Club,6,416-467-9350,Leaside Tennis Club,http://www.leasidetennis.org,
160,160,160,Trinity Bellwoods Park,Public,8,311,,,
161,161,161,Viewmount Park,Club,4,416-395-6021,Viewmount Park Tennis Club,https://viewmount.ca,
162,162,162,Wanless Park,Club,5,416-483-4546,Wanless Park Tennis Club,http://www.wanlesstennis.com,
163,163,163,Wedgewood Park - Etobicoke,Public,1,311,,,
164,164,164,Wedgewood Park - North York,Public,2,311,,,
165,165,165,West Deane Park,Club,4,311,Martingrove Tennis Club,http://www.martingrovetennis.com,Has public hours - Public Hours: 5 PM - 11 PM (Sundays Only)
166,166,166,West Rouge Park,Club,3,311,West Rouge Tennis Club,https://wrtctennis.com/,
167,167,167,Westgrove Park,Public,2,311,,,
168,168,168,Westmount Park,Public,3,311,,,
169,169,169,Weston Lions Park,Club,4,416-243-7068,York Weston Lions Tennis Club,http://www.ywtc.ca,
170,170,170,Westway Park,Public,4,311,,,
171,171,171,Willowdale Park,Club,4,416-590-9704,North York Tennis Club,http://www.nytc.ca,
172,172,172,Wishing Well Park,Club,3,416-492-9696,Wishing Well Tennis Club,http://www.wwtc.sprinterweb.net,
173,173,173,Withrow Park and Clubhouse,Public,2,311,,,
174,174,174,York Mills Valley Park,Club,5,416-440-0645,Valley Tennis Club,http://www.valleytennisclub.com,