_fid,Lights,WinterPlay
1,Yes,
2,No,
3,Yes,
4,No,Yes
5,No,
6,Yes,
7,No,Yes
8,Yes,
9,Yes,Yes
10,No,
11,Yes,
12,No,
13,Yes,
14,Yes,
15,Yes,Yes
16,Yes,Yes
17,Yes,Yes
18,No,
19,Yes,
20,Yes,
21,Yes,
22,Yes,
23,Yes,
24,Yes,
25,Yes,
26,No,Yes
27,No,
28,Yes,
29,No,
30,No,
31,Yes,Yes
32,Yes,
33,No,
34,Yes,
35,Yes,
36,Yes,
37,Yes,Yes
38,No,Yes
39,Yes,
40,Yes,
41,Yes,Yes
42,Yes,
43,Yes,
44,Yes,Yes
45,Yes,
46,Yes,Yes
47,Yes,Yes
48,No,Yes
49,Yes,
50,Yes,
51,Yes,Yes
52,Yes,
53,Yes,Yes
54,No,Yes
55,No,Yes
56,No,
57,Yes,
58,Yes,
59,Yes,
60,Yes,
61,Yes,
62,Yes,
63,Yes,
64,Yes,Yes
65,Yes,Yes
66,Yes,Yes
67,No,
68,Yes,Yes
69,Yes,
70,Yes,
71,No,
72,Yes,Yes
73,Yes,Yes
74,No,Yes
75,No,Yes
76,Yes,
77,No,
78,Yes,Yes
79,Yes,
80,Yes,Yes
81,No,Yes
82,No,
83,No,Yes
84,Yes,
85,Yes,
86,Yes,
87,Yes,Yes
88,Yes,
89,Yes,
90,Yes,Yes
91,Yes,Yes
92,Yes,Yes
93,Yes,
94,Yes,Yes
95,Yes,Yes
96,Yes,Yes
97,No,Yes
98,Yes,
99,Yes,
100,No,
101,Yes,
102,Yes,
103,No,
104,Yes,
105,Yes,
106,Yes,
107,No,
108,No,Yes
109,Yes,
110,Yes,
111,No,Yes
112,Yes,Yes
113,Yes,
114,Yes,Yes
115,Yes,Yes
116,Yes,Yes
117,Yes,
118,Yes,
119,No,
120,None,
121,No,
122,No,Yes
123,Yes,
124,No,Yes
125,No,
126,No,
127,Yes,
128,No,Yes
129,Yes,
130,Yes,Yes
131,Yes,
132,No,Yes
133,Yes,Yes
134,Yes,
135,Yes,
136,No,Yes
137,Yes,
138,No,Yes
139,Yes,Yes
140,Yes,
141,Yes,
142,No,Yes
143,Yes,
144,No,Yes
145,No,
146,Yes,
147,Yes,
148,Yes,
149,Yes,
150,Yes,Yes
151,Yes,
152,No,Yes
153,Yes,
154,Yes,
155,Yes,
156,Yes,Yes
157,Yes,Yes
158,Yes,
159,Yes,
160,No,Yes
161,Yes,
162,Yes,
163,Yes,
164,No,Yes
165,Yes,
166,Yes,
167,Yes,
168,Yes,Yes
169,Yes,
170,Yes,
171,Yes,
172,Yes,
173,No,Yes
174,Yes,